title,address,telNo
충주 활옥동굴,충청북도 충주시 목벌안길 26,043-848-0503
용문사(용문산),경기도 양평군 용문면 용문산로 782,
계족산 황톳길,대전광역시 대덕구 장동 산85,042-608-5163
우두산 출렁다리 (거창 Y자형 출렁다리),경상남도 거창군 가조면 의상봉길 830,"055-940-7936
"
"정선5일장 / 정선 아리랑시장 (2, 7일)",강원특별자치도 정선군 정선읍 5일장길 36,
포천아트밸리 (한탄강 유네스코 세계지질공원),경기도 포천시 신북면 아트밸리로 234,1668-1035
경주 동궁과 월지,경상북도 경주시 원화로 102,054-750-054-750-8650
월정교,경상북도 경주시 교동 274,터미널 관광안내소 054-772-9289
"모란장·모란민속시장(4, 9일)",경기도 성남시 중원구 둔촌대로 68,031-721-9905
간월암(서산),충청남도 서산시 부석면 간월도1길 119-29,041-668-6624
수생식물학습원,충청북도 옥천군 군북면 방아실길 255,070-4349-1765
거북섬,경기도 시흥시 정왕동 2724,
교동도 대룡시장,인천광역시 강화군 교동면 교동남로 35,
관방제림,전라남도 담양군 담양읍 죽녹원로 98,061-380-3150~3
파주 임진각(평화누리공원),경기도 파주시 문산읍 임진각로 177,임진각관광안내소 031-953-4744
횡성호수길,강원특별자치도 횡성군 갑천면 태기로구방5길 40,전화번호 없음
평창 육백마지기,강원특별자치도 평창군 미탄면 청옥산길 583-76,평창군 종합관광안내소 033-330-2771
강화 전등사,인천광역시 강화군 길상면 전등사로 37-41,032-937-0125 
와우정사(용인),경기도 용인시 처인구 해곡로 25-15,
금시당,경상남도 밀양시 활성로 24-183,밀양시청 문화예술과 055-359-5641
설악산 케이블카,강원특별자치도 속초시 설악산로 1085,"033-636-4300
"
청풍호반케이블카,충청북도 제천시 청풍면 문화재길 166,043-643-7301
말티재 전망대(말티고개),충청북도 보은군 속리산면 속리산로 477,043-540-4462
향일암(여수),전라남도 여수시 돌산읍 향일암로 60,
물의정원,경기도 남양주시 조안면 북한강로 398,031-590-8634
부석사 [유네스코 세계유산],경상북도 영주시 부석면 부석사로 345,054-633-3464
피나클랜드 수목원,충청남도 아산시 영인면 월선길 20-42,041-541-2582
옥연지 송해공원,대구광역시 달성군 옥포읍,053-668-3763
대왕암공원,울산광역시 동구 등대로 95 (일산동),052-209-3738
신시모도 (신도ㆍ시도ㆍ모도),인천광역시 옹진군 북도면,인천종합 관광안내소 032-832-3031
발왕산 관광케이블카,강원특별자치도 평창군 대관령면 올림픽로 715,033-330-7423
점봉산 곰배령,강원특별자치도 인제군 기린면 곰배령길 12,
남이섬,강원특별자치도 춘천시 남이섬길 1 남이섬,031-580-8114
화엄사,전라남도 구례군 마산면 화엄사로 539,
"봉평5일장 / 봉평시장 (2, 7 일)",강원특별자치도 평창군 봉평면 동이장터길 14-1,033-336-9987
보령 천북굴단지,충청남도 보령시 천북면,천북면사무소 041-930-0804
홍룡사(양산),경상남도 양산시 상북면 홍룡로 372,055-375-4177
곡교천 은행나무길 ,충청남도 아산시 염치읍 송곡리,아산시콜센터 1422-42
오대산 선재길,강원특별자치도 평창군 진부면 오대산로 374-8,033-332-6417
두타산,강원특별자치도 동해시 삼화로 538 (삼화동),무릉계곡 관리사무소 033-539-3700~1
속리산테마파크모노레일,충청북도 보은군 속리산면 속리산로 600,"043-542-7998
"
홍제폭포,서울특별시 서대문구 연희동 170-181,02-2236-9134
태안 신두리 해안사구,충청남도 태안군 원북면 신두리,
신륵사(여주),경기도 여주시 신륵사길 73,
성필립보생태마을,강원특별자치도 평창군 평창읍 평창강로 896-21,"033-333-8066
"
북촌한옥마을,서울특별시 종로구 계동길 37 (계동),북촌마을안내소 02-2148-4161
죽변해안스카이레일,경상북도 울진군 죽변면 죽변중앙로 235-8,054-783-8881
제천 의림지와 제림,충청북도 제천시 의림지로 33,의림지 관광안내소 043-651-7101
대천해수욕장스카이바이크,충청남도 보령시 해수욕장10길 75,041-931-1180
상림공원,경상남도 함양군 함양읍 필봉산길 49,
백양사,전라남도 장성군 북하면 백양로 1239,"종무소 061-392-
템플스테이 문의 061-392-0434"
화암사(고성),강원특별자치도 고성군 토성면 화암사길 100,033-633-1525
설악산 대청봉,강원특별자치도 양양군 서면 오색리,033-6801-0900
순천만 국가정원,전라남도 순천시 국가정원1호길 47,"061-749-3114
"
약사암(구미),경상북도 구미시 남통동,금오산도립공원관리사무소 054-480-4605
해운대 블루라인파크,부산광역시 해운대구 청사포로 116,"051-701-5548
"
만천하 스카이워크,충청북도 단양군 적성면 옷바위길 10,"만천하스카이워크 043-421-0014~
단양관광공사 만천하팀 043-421-7885"
힐링파크 쑥섬쑥섬 (애도),전라남도 고흥군 봉래면 나로도항길 120-7,
해동 용궁사(부산),부산광역시 기장군 기장읍 용궁길 86,051-722-7744
순창군 채계산 출렁다리,전북특별자치도 순창군 적성면,063-650-1642
문광저수지,충청북도 괴산군 문광면 양곡리 16,
신성리 갈대밭,충청남도 서천군 한산면 신성리 125-1,서천종합관광안내소 041-952-9525
이수도(거제),경상남도 거제시 장목면 이수도길 10, 055-639-4178
오륙도 스카이워크,부산광역시 남구 오륙도로 137,"051-601-3417
"
주왕산국립공원,경상북도 청송군 주왕산면 공원길 169-7,054-870-5300
수안보온천 관광특구,충청북도 충주시 수안보면 주정산로 12,043-846-3605
무의도,인천광역시 중구 대무의로 310-11,
대둔산케이블카,전북특별자치도 완주군 운주면 대둔산공원길 55,063-263-6621~2
고석정 꽃밭,강원특별자치도 철원군 동송읍 태봉로 1769,033-450-5059
청남대 ,충청북도 청주시 상당구 문의면 청남대길 646,"043-257-5080
"
가산수피아,경상북도 칠곡군 가산면 학하들안2길 105,"관람문의 054-971-
단체문의 054-971-
캠핑&숙박문의 054-971-9860"
아홉산숲,부산광역시 기장군 철마면 미동길 37-1,
백두대간협곡열차(V-트레인),경상북도 봉화군 소천면 분천길 49,코레일 고객센터 1544-7788
경주 첨성대,경상북도 경주시 첨성로 140-25,054-772-3843
휴휴암(강원),강원특별자치도 양양군 현남면 광진2길 3-16,
선유도,전북특별자치도 군산시 옥도면 선유남길 34-22,063-454-7280
보길도,전라남도 완도군 보길면,
사유원,대구광역시 군위군 치산효령로 1150  ,"054-383-1278
"
청사포 다릿돌전망대,부산광역시 해운대구 청사포로 167,청사포다릿돌전망대관광안내소 051-749-5720
"마석 5일장(3, 8일)",경기도 남양주시 화도읍 마석로17번길 26,031-590-2114
보문사(강화),인천광역시 강화군 삼산남로828번길 44 보문사,
조양방직,인천광역시 강화군 강화읍 향나무길5번길 12,032-933-2192
오서산,충청남도 보령시 청소면 성연리,041-936-5465
꽃객프로젝트,전북특별자치도 고창군 부안면 복분자로 307,010-8675-7898
"순천만습지 (구, 순천만자연생태공원)",전라남도 순천시 순천만길 513-25,"061-749-3114
"
보은 법주사 [유네스코 세계유산],충청북도 보은군 속리산면 법주사로 405,043-543-3615
배론성지,충청북도 제천시 봉양읍 배론성지길 296,043-651-4527
칠불사(하동),경상남도 하동군 화개면 범왕길 528,055-883-1869
서암정사(함양),경상남도 함양군 마천면 광점길 27-79,055-962-5662
상소동 산림욕장,대전광역시 동구 상소동 산 1-1,대전 동구청 산림자원팀 042-251-4773
대구 서문시장 & 서문시장 야시장,대구광역시 중구 큰장로26길 45,053-256-6341
도째비골스카이밸리,강원특별자치도 동해시 묵호진동 2-109,070-7799-6955
런던베이글뮤지엄,서울특별시 종로구 북촌로4길 20 연화빌딩 ,
카멜리아힐,제주특별자치도 서귀포시 안덕면 병악로 166,064-800-6296
백암산 케이블카,강원특별자치도 화천군 화천읍 풍산리,
방아머리해변,경기도 안산시 단원구 대부북동,대부도관광안내소 1899-1720
다산초당(다산 정약용 유적지),전라남도 강진군 도암면 다산초당길 68-35,061-430-3911
해인사(합천),경상남도 합천군 가야면 해인사길 122,"해인사 055-934-
템플스테이(선림원)  055-934-3110"
마이산도립공원,전북특별자치도 진안군 진안읍 마이산로 130,063-430-8751~3
도솔암(해남),전라남도 해남군 송지면 마봉송종길 355-300,"해남군청 문화예술과 문화유산팀 061-530-
관광안내 061-532-1330 / 061-530-5915  "
김일성 별장,강원특별자치도 고성군 거진읍 화진포길 280,화진포 관광안내소 033-680-3677
한탄강 Y자 출렁다리,경기도 포천시 영북면 비둘기낭길 55,031-538-3030
대구 달성공원,대구광역시 중구 달성공원로 35,053-803-7350
선운사(고창),전북특별자치도 고창군 아산면 선운사로 250,
"단양장 / 단양구경시장 (1, 6일)",충청북도 단양군 단양읍 도전5길 31,043-422-1706
적상산,전북특별자치도 무주군 적상면 괴목리, 063-322-4174
노추산 모정탑길,강원특별자치도 강릉시 왕산면 대기리 1679-8,033-647-2540
만어사,경상남도 밀양시 삼랑진읍 만어로 776,
황룡원,경상북도 경주시 엑스포로 40,
김포 대명항,경기도 김포시 대명항1로 109  ,대명항 관리사무소 031-987-2983
사성암(구례),전라남도 구례군 문척면 사성암길 303,061-781-4544
거창 별바람언덕,경상남도 거창군 신원면 덕산리 산57번지,055-940-8227
개심사(서산),충청남도 서산시 운산면 개심사로 321-86,
아침고요수목원,경기도 가평군 상면 수목원로 432,1544-6703
수성못 유원지,대구광역시 수성구 용학로 35-5,"수성유원지 053-666-
수성못 관광안내소 053-761-0645"
율암온천숯가마 테마파크,경기도 화성시 팔탄면 온천로 434-14,031-354-7400
정취암,경상남도 산청군 신등면 둔철산로 675-87,055-972-3339
봉명산 출렁다리,경상북도 문경시 문경읍 온천강변1길 27,054-550-6323
영남 알프스,울산광역시 울주군 상북면 알프스온천5길 103-8,울주군 산림공원과 052-204-1726
운곡서원,경상북도 경주시 강동면 사라길 79-13,
라테라스 윈터빌리지 어드벤처,전라남도 여수시 돌산읍 진모1길 29-12,
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,064-710-7912
거창 수승대,경상남도 거창군 위천면 은하리길 2,055-940-8530
동탄호수공원,경기도 화성시 동탄순환대로 67,"화성시 공원관리과  031-5189-6232, 6632"
봉선사(경기),경기도 남양주시 진접읍 봉선사길 32,031-527-1951
상화원,충청남도 보령시 남포면 남포방조제로 408-52,070-7456-2200
여수 유월드 루지 테마파크,전라남도 여수시 소라면 안심산길 155,061-810-6000
한탄강관광지 오토캠핑장,경기도 연천군 전곡읍 선사로 76,
선암사 [유네스코 세계유산],전라남도 순천시 승주읍 선암사길 450,061-754-6250
여수예술랜드,전라남도 여수시 돌산읍 무술목길 142-1,061-665-0000
진관사(서울),서울특별시 은평구 진관길 73,02-359-8410
안동 하회마을 [유네스코 세계유산],경상북도 안동시 풍천면 전서로 186,"054-852-3588
"
통일전 은행나무길,경상북도 경주시 칠불암길 6 (남산동),경주관광안내소 051-973-1033
영금정,강원특별자치도 속초시 동명항길 35,속초 관광안내센터 033-639-2690
태평소국밥(원조태평소국밥 태평본점),대전광역시 중구 태평로 116,
팔공산 케이블카,대구광역시 동구 팔공산로185길 51,0507-1406-8801
시몬스테라스점,경기도 이천시 모가면 사실로 988,전화번호 없음
내장산 케이블카,전북특별자치도 정읍시 내장산로 1179-11 (내장동),063-538-8120
덕구온천스파월드,경상북도 울진군 북면 덕구온천로 924,"054-782-0677
"
유명산,경기도 가평군 설악면,
용암사(옥천),충청북도 옥천군 옥천읍 삼청2길 400,043-732-1400
수타사,강원특별자치도 홍천군 영귀미면 수타사로 473,033-436-6611
홍도,전라남도 신안군 흑산면 홍도1길 9-8,061-246-3700
고석정국민관광지,강원특별자치도 철원군 동송읍 태봉로 1825,관광안내소 033-450-5558
태종대 다누비열차,부산광역시 영도구 전망로 257,051-405-2004
메타세콰이어길,충청남도 공주시 의당면 의당로 257,"041-840-8558
"
덕수궁,서울특별시 중구 세종대로 99,"사무실 02-771-
안내실 02-751-
석조전 안내실 02-751-0753 "
갑사,충청남도 공주시 계룡면 갑사로 567-3,
경인아라뱃길유람선 현대크루즈호,경기도 김포시 고촌읍 아라육로270번길 74,"032-882-5555
"
도리마을은행나무숲,경상북도 경주시 서면 도리길 35-102,054-779-8585
도동서원 [유네스코 세계유산],대구광역시 달성군 구지면 도동서원로 1,053-616-6407
명동,서울특별시 중구 을지로 66,명동관광정보센터 02-778-0333
내장산국립공원,전북특별자치도 정읍시 내장호반로 328,063-538-7875
한탄강 물윗길,강원특별자치도 철원군 갈말읍,
속초 외옹치 바다향기로,강원특별자치도 속초시 대포동 585-5,033-639-2362
감악산 출렁다리,경기도 파주시 설마천로 238  ,"031-950-
031-940-4612"
선샤인랜드,충청남도 논산시 연무읍 봉황로 102,전화번호 없음
이천도자예술마을 (이천 예스파크),경기도 이천시 경충대로2993번길 56,"031-638-8388
"
마장호수,경기도 파주시 광탄면 기산로 365,031-950-1941
용소웰빙공원,부산광역시 기장군 기장읍 서부리,051-709-4534
"삼양라운드힐 (구, 대관령 삼양목장)",강원특별자치도 평창군 대관령면 꽃밭양지길 708-9,
군위 화산산성 전망대,대구광역시 군위군 고로면 화산길 619-26,대구 군위군 문화관광과  054-380-6916
반야사(논산),충청남도 논산시 가야곡면 삼전길 104,전화번호 없음
광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902
가우도,전라남도 강진군 도암면 월곶로 473,061-430-3114
고군산군도,전북특별자치도 군산시 옥도면 대장도리,063-454-3335 
부산 자갈치시장,부산광역시 중구 자갈치해안로 52,051-245-2594
경주 황리단길,경상북도 경주시 포석로 1080,경주터미널관광안내소 054-772-9289
호미곶 해맞이광장,경상북도 포항시 남구 호미곶면 해맞이로150번길 20,호미곶 해맞이광장 관리사무소 054-270-5806
엔학고레,충청남도 공주시 반포면 불장골길 113-12,
실버벨교회,강원특별자치도 평창군 대관령면 경강로 5107,033-330-2771
비토섬,경상남도 사천시 서포면 비토안길 104-16,055-835-1023
환선굴 (대이리 동굴지대),강원특별자치도 삼척시 신기면 환선로 800,033-541-9266
단양 고수동굴,충청북도 단양군 단양읍 고수동굴길 8,전화번호 없음
로미지안 가든,강원특별자치도 정선군 북평면 어래길 20,"서울 사무소 02-3288-
정선 매표소 033-563-1826"
인사동,서울특별시 종로구 인사동길 62,"북인사동 관광안내소 02-734-
남인사동 관광안내소 02-737-7885"
소금산그랜드밸리,강원특별자치도 원주시 지정면 소금산길 12,033-749-4860
나리농원,경기도 양주시 광사동,0507-1321-7240
팔봉산(홍천),강원특별자치도 홍천군 서면 한치골길 1124,
새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,제주관광정보센터 064-740-6000
공주 공산성 [유네스코 세계유산],충청남도 공주시 웅진로 280,041-856-7700 
두타산,강원특별자치도 삼척시 하장면 두타로,
가리왕산케이블카,강원특별자치도 정선군 북평면 중봉길 41-35,033-560-3467
삽교호놀이동산,충청남도 당진시 신평면 삽교천3길 15,041-363-4589
이순신광장,전라남도 여수시 중앙로 74,061-661-1746
국립생태원(서천),충청남도 서천군 마서면 금강로 1210,
산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,064-783-9900
청산도,전라남도 완도군 청산면 도청3길 30-1,061-550-5114
악어봉,충청북도 충주시 살미면 신당리,
죽녹원,전라남도 담양군 담양읍 죽녹원로 119,061-380-2680
가우도 출렁다리,전라남도 강진군 도암면 신기리,061-430-3312
하동 화개장터,경상남도 하동군 화개면 쌍계로 15,055-880-6051
목포근대역사관 1관,전라남도 목포시 영산로29번길 6,061-242-0340 
울릉도,경상북도 울릉군 도동2길 66 울릉군청 ,울라웰컴하우스(저동여행자센터) 054-791-7781
통일전(경주),경상북도 경주시 칠불암길 6,054-774-8761
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,가파리 사무소 064-794-7130
화성어차,경기도 수원시 팔달구 창룡대로103번길 8 (매향동),031-228-4686
호미반도 해안둘레길,경상북도 포항시 남구 동해면,054-270-3203
경주 불국사 [유네스코 세계유산],경상북도 경주시 불국로 385,"054-746-9913

"
독일마을,경상남도 남해군 독일로 89-7  ,055-867-8897
오이도,경기도 시흥시 오이도로 175,"031-310-2332,2901~4"
킹즈락CC (힐데스하임CC),충청북도 제천시 내토로7길 136,
부곡온천 관광특구,경상남도 창녕군 부곡면 온천중앙로 77,창녕군청 관광체육과 055-530-1591
헤이리 예술마을,경기도 파주시 탄현면 헤이리마을길 70-21,031-946-8551 
대흥사 [유네스코 세계유산],전라남도 해남군 삼산면 대흥사길 400,061-534-5502 / 061-535-0886 (19:00 이후)
호명산드라이브코스,경기도 가평군 청평면 호반로 9,
동산청라언덕,대구광역시 중구 달구벌대로 2029,053-627-1337
일붕사(의령),경상남도 의령군 궁류면 청정로 1202-15,055-572-7777
바다향기수목원,경기도 안산시 단원구 대부황금로 399, 031-8008-6795
덕산온천지구,충청남도 예산군 덕산면,
용머리해안,제주특별자치도 서귀포시 안덕면 사계리 118-3,064-760-6321
호국의병의숲친수공원,경상남도 의령군 지정면 성산리 675-1,
노형수퍼마켙,제주특별자치도 제주시 노형로 89,064-713-1888
블랙스톤벨포레CC,충청북도 증평군 도안면 벨포레길 346,
"가평5일장 (5, 10일)",경기도 가평군 가평읍 장터2길 10,
시흥 갯골생태공원,경기도 시흥시 동서로 287 (장곡동),031-488-6900
맛질예찬 토담,경상북도 예천군 오암길 20 오암낚시터,
제이드가든,강원특별자치도 춘천시 남산면 햇골길 80,"033-260-8300
"
유원재,충청북도 충주시 수안보면 주정산로 6,043-820-8100
한라산 영실,제주특별자치도 서귀포시 영실로 246,064-747-9950
의암호스카이워크,강원특별자치도 춘천시 칠전동 485,"033-253-3700
"
청풍호 관광모노레일,충청북도 제천시 청풍면 청풍명월로 879-17,043-653-5120~1
남산서울타워,서울특별시 용산구 남산공원길 105,02-3455-9277
앞산 케이블카(앞산 전망대),대구광역시 남구 앞산순환로 574-114 앞산케이블카 ,053-656-2994
설악산 오색주전골,강원특별자치도 양양군 서면 약수길 ,전화번호 없음
강화루지(강화씨사이드리조트),인천광역시 강화군 길상면 장흥로 217,032-930-9000
정동심곡 바다부채길,강원특별자치도 강릉시 강동면 심곡리,"심곡매표소 033-641-
정동매표소 033-641-9444 "
제부도,경기도 화성시 서신면 해안길 421-12,화성도시공사 제부도관리팀 031-355-3924
내연산보경사시립공원,경상북도 포항시 북구 송라면 보경로 523,054-240-7555
구룡포 일본인 가옥거리,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,구룡포근대역사관 054-276-9605
굴업도,인천광역시 옹진군 덕적면 굴업리,032-899-3710
"가평 현리5일장 (4, 9일)",경기도 가평군 조종면 현창로44번길 14,031-585-1014
망향비빔국수 본점,경기도 연천군 궁평로 5,
거제식물원(거제정글돔),경상남도 거제시 거제면 거제남서로 3595,055-639-6997
경복궁,서울특별시 종로구 사직로 161,"경복궁 관리소 02-3700-3900
"
민둥산,강원특별자치도 정선군 남면 무릉리,정선군콜센터 1544-9053
대관령양떼목장,강원특별자치도 평창군 대관령면 대관령마루길 483-32,
오산오색시장,경기도 오산시 오산로272번길 2,031-376-4141
"석부작박물관 (숨도, 귤림성) ",제주특별자치도 서귀포시 일주동로 8941,064-739-5588
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,064-782-2810
명성산,경기도 포천시 이동면 도평리,031-538-3342
피아골계곡,전라남도 구례군 토지면 피아골로,
망월사(경기),경기도 의정부시 망월로28번길 211-500,031-873-7744
"선산5일장 (2, 7일)",경상북도 구미시 선산읍 단계동길 24,054-482-0213
대왕암공원 출렁다리,울산광역시 동구 등대로 95,052-209-3738
담양 메타세쿼이아길,전라남도 담양군 담양읍 메타세쿼이아로 12,061-380-3149
문경 철로자전거(레일바이크),경상북도 문경시 불정강변길 187,"철로자전거 054-553-8300
"
구례 운조루 고택,전라남도 구례군 토지면 운조루길 59,061-781-2644
청간정,강원특별자치도 고성군 토성면 동해대로 5110,고성군 관광문화과 033-680-3368
벌천포오토캠핑장,충청남도 서산시 대산읍 벌천포길 93-25,0507-1336-5807
도선사(서울),서울특별시 강북구 삼양로173길 504,
마이산 탑사,전북특별자치도 진안군 마령면 마이산남로 367,063-433-0012
서울숲,서울특별시 성동구 뚝섬로 273,02-460-2905
태화강 국가정원,울산광역시 중구 태화강국가정원길 154,태화강 국가정원 안내센터 052-229-3147~8
스플라스 리솜,충청남도 예산군 덕산면 온천단지3로 45-7,041-330-8062
전설의 쌍화차 거리,전북특별자치도 정읍시 중앙1길 147,"정읍시 관광과 063-539-5231~
정읍시 지역경제과 063-539-5601~4"
한려해상 국립공원 생태탐방원,경상남도 통영시 산양일주로 1361-96 한려해상국립공원 생태탐방연수원,
제천 옥순봉 출렁다리,충청북도 제천시 수산면 옥순봉로 (342),
자라섬,경기도 가평군 가평읍 자라섬로 60,031-8078-8028
악양생태공원,경상남도 함안군 대산면 하기2길 208-49,055-580-4591 
구룡사,강원특별자치도 원주시 소초면 구룡사로 500,"033-732-4800
"
강릉 중앙시장,강원특별자치도 강릉시 금성로 21,033-648-2285
김해가야테마파크,경상남도 김해시 가야테마길 161,055-340-7900
청도유천마을 근대거리,경상북도 청도군 청도읍 내호리,054-370-6376
강릉 오죽헌,강원특별자치도 강릉시 율곡로3139번길 24,
죽도(홍성),충청남도 홍성군 서부면 죽도길 8,
남해보물섬전망대,경상남도 남해군 삼동면 동부대로 720,055-867-6022
동대문 종합시장·동대문 쇼핑타운,서울특별시 종로구 종로 266,02-2262-0114
창경궁,서울특별시 종로구 창경궁로 185,02-762-4868
승학산,부산광역시 사하구 당리동 산 45-1,전화번호 없음
퍼스트가든,경기도 파주시 탑삭골길 260,031-957-6861
순천 낙안읍성,전라남도 순천시 낙안면 충민길 30,061-749-8831~8833
월악산국립공원,충청북도 제천시 한수면 미륵송계로 1647,
"북평민속오일장 (3, 8일)",강원특별자치도 동해시 구미동,033-530-2162
국립수목원(광릉숲),경기도 포천시 광릉수목원로 415  ,031-540-2000 
철원 노동당사,강원특별자치도 철원군 철원읍 금강산로 265,
연풍성지,충청북도 괴산군 연풍면 중앙로홍문2길 14,043-833-5061
성산일출봉 [유네스코 세계자연유산],제주특별자치도 서귀포시 성산읍 일출로 284-12,064-783-0959
산타우체국,강원특별자치도 화천군 화천읍 산수화로 10,033-442-9400
옥정호 출렁다리 및 붕어섬생태공원,전북특별자치도 임실군 운암면 용운리,
효원공원 월화원,경기도 수원시 팔달구 동수원로 399 (인계동),1899-3300
한티 순교성지,경상북도 칠곡군 동명면 한티로1길 69,
진도 운림산방,전라남도 진도군 의신면 운림산방로 315,061-540-6262
수원통닭거리,경기도 수원시 팔달구 정조로800번길 16,수원종합관광안내소 031-228-4672
벽초지수목원,경기도 파주시 광탄면 부흥로 242,031-957-2004
이성당,전북특별자치도 군산시 중앙로 177,063-445-2772
야끼화로 송도점,인천광역시 연수구 컨벤시아대로 126 푸르지오월드마크,
구리시민한강공원(코스모스공원),경기도 구리시 토평동,031-550-3789
석모도,인천광역시 강화군 삼산면 석모리,
비양도,제주특별자치도 제주시 한림읍 한림리,전화번호 없음
합천 영상테마파크 ,경상남도 합천군 용주면 합천호수로 757,055-930-8633
양평 두물머리,경기도 양평군 양서면 두물머리길 145,031-775-8700
포천 한탄강 하늘다리 ,경기도 포천시 영북면 비둘기낭길 207,한탄강세계지질공원센터 031-538-3030
익선동 한옥거리,서울특별시 종로구 익선동,"북인사동 관광안내소 02-734-
남인사동 관광안내소 02-737-7885"
밀양 영산정사 (석조여래좌상) ,경상남도 밀양시 무안면 가례로 233,밀양시 문화예술과 055-359-5637~41
이가리 닻 전망대,경상북도 포항시 북구 청하면 이가리,054-270-8282
해운대수목원 		,부산광역시 해운대구광역시 석대동 26,"051-888-7131
"
올림픽공원피크닉장,서울특별시 송파구 올림픽로 424,
송도용궁구름다리,부산광역시 서구 암남동 620-53,
수원 화성 [유네스코 세계유산],경기도 수원시 장안구 영화동,
경주 보문관광단지,경상북도 경주시 신평동,054-745-7601
목포 갓바위,전라남도 목포시 남농로 166-1,
등기산스카이워크,경상북도 울진군 후포면 후포리,054-787-5862
서동공원과 궁남지,충청남도 부여군 부여읍 궁남로 52,충남종합관광안내소 041-830-2880
전주난장,전북특별자치도 전주시 완산구 동문길 33-20 (풍남동2가),063-244-0001
신세계사이먼 여주 프리미엄 아울렛,경기도 여주시 명품로 360,1644-4001
국립대전현충원 보훈둘레길 ,대전광역시 유성구 현충원로 251,042-718-7114
낭도,전라남도 여수시 화정면,
허브아일랜드,경기도 포천시 신북면 청신로947번길 35,전화번호 없음
설악산 울산바위,강원특별자치도 속초시 설악산로 1091,"033-680-3382
"
하나개해수욕장,인천광역시 중구 하나개로 150 (무의동),
가야산 소리길,경상남도 합천군 가야면 가야산로 1200,055-930-8000
오어사(포항),경상북도 포항시 남구 오천읍 오어로 1,
수주팔봉,충청북도 충주시 살미면,043-850-2313
단양 다누리아쿠아리움,충청북도 단양군 단양읍 수변로 111,
별마로천문대,강원특별자치도 영월군 영월읍 천문대길 397,
대구수목원,대구광역시 달서구 화암로 342,053-803-7270
천은사(구례),전라남도 구례군 광의면 노고단로 209,
만정민트바다낚시터,인천광역시 중구 영종순환로 279-20,
고성 폭포암,경상남도 고성군 동해면 외곡1길 535,055-672-1097
무량사(부여),충청남도 부여군 무량로 203  ,041-836-5066
하이커 그라운드,서울특별시 중구 청계천로 40 한국관광공사 서울센터 ,02-729-9497
비수구미마을(비수구미계곡),강원특별자치도 화천군 화천읍 비수구미길 470,화천군 관광안내소 033-440-2575
낙화암,충청남도 부여군 부여읍 성왕로 247-9,"041-830-2884

"
한탄강 주상절리길(포천),경기도 포천시 영북면,031-538-2312
베어트리파크,세종특별자치시 전동면 신송로 217,"044-866-7766
"
충주 탄금대와 탄금대공원,충청북도 충주시 탄금대안길 105,"043-848-2246 
"
